id,quid,question,true_answer,llm_answer,correct,llm_answer_chosen,reward_method,reward_score,task_prompt_all,task_prompts_majority
0,,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?
A)5(√3 + 1)
B)6(√3 + √2)
C)7(√3 – 1)
D)8(√3 – 2)
E)None of these",A,A,True,,,,,
1,,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?
A)$61
B)$65
C)$67.40
D)$70
E)$78.20",E,D,False,,,,,
2,,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?
A)36
B)15
C)17
D)5
E)7",A,A,True,,,,,
3,,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?
A)0.22
B)0.26
C)0.37
D)0.46
E)0.63",B,B,True,,,,,
4,,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?
A)270
B)300
C)280
D)320
E)315",B,B,True,,,,,
5,,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?
A)40
B)200
C)380
D)400
E)3200",D,D,True,,,,,
6,,"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?
A)74453
B)64543
C)74325
D)65000
E)97656",D,E,False,,,,,
7,,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?
A)10
B)11.5
C)12.5
D)13.5
E)15",C,C,True,,,,,
8,,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?
A)27
B)81
C)90
D)99
E)110",E,C,False,,,,,
9,,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?
A)15
B)24
C)25
D)40
E)52",D,C,False,,,,,
10,,"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?
A)226
B)230
C)240
D)260
E)280",B,C,False,,,,,
